number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,exchange rate,city,district,zip code,labels
0.0223187598741702,0.0171933266118787,0.0192097833407636,0.0496861624617815,0.0196655788078613,0.0,0.004918347481382229,0.0135620322003652,0.0222495063539743,0.0,0.0158581106632355,0.0253951877797356,0.0152478587985521,0.0087026712475861,0.0124368404610755,0.0061568005537562,3.0
0.023344341556454887,0.0171933266118787,0.0192097833407636,0.0496861624617815,0.0196655788078613,0.0,0.004918347481382229,0.0135620322003652,0.0222495063539743,0.0,0.0158581106632355,0.0253951877797356,0.0152478587985521,0.0087026712475861,0.0124368404610755,0.0061568005537562,3.0
0.023344341556454887,0.0171933266118787,0.0192097833407636,0.0496861624617815,0.0196655788078613,0.0,0.004918347481382229,0.0135620322003652,0.0222495063539743,0.0,0.0158581106632355,0.0253951877797356,0.0152478587985521,2.7177680455447026,0.0124368404610755,0.0061568005537562,3.0
0.0089275039496681,0.0068773306447514,0.0082424956887673,0.0069174135362532,0.0098327894039306,0.0,0.003249369600153651,0.0090413548002435,0.0095467740029464,0.0,0.0156177148472188,0.0,0.0140304701524319,0.0197260548278619,0.0242761567435742,0.0177460721843562,1.0
0.009237028654940775,0.0068773306447514,0.0082424956887673,0.0069174135362532,0.0098327894039306,0.0,0.003249369600153651,0.0090413548002435,0.0095467740029464,0.0,0.0156177148472188,0.0,0.0140304701524319,0.0197260548278619,0.0242761567435742,0.0177460721843562,1.0
0.009237028654940775,0.0068773306447514,0.0082424956887673,0.0069174135362532,0.0098327894039306,0.0,0.003249369600153651,0.0090413548002435,0.0095467740029464,0.0,0.0156177148472188,0.0,0.0140304701524319,0.9539566464896317,0.0242761567435742,0.0177460721843562,1.0
0.0178550078993362,0.0171933266118787,0.0149863557977588,0.0069152058510821,0.0196655788078613,0.0,0.08181729672392987,0.0135620322003652,0.017357770914448,0.0,0.0159222162141733,0.0252186571794793,0.0135068346616192,0.0005801780831724,0.0212121083394768,0.0,1.0
0.01671445110553567,0.0171933266118787,0.0149863557977588,0.0069152058510821,0.0196655788078613,0.0,0.08181729672392987,0.0135620322003652,0.017357770914448,0.0,0.0159222162141733,0.0252186571794793,0.0135068346616192,0.0005801780831724,0.0212121083394768,0.0,1.0
0.01671445110553567,0.0171933266118787,0.0149863557977588,0.0069152058510821,0.0196655788078613,0.0,0.08181729672392987,0.0135620322003652,0.017357770914448,0.0,0.0159222162141733,0.0252186571794793,0.0135068346616192,0.9523701991043001,0.0212121083394768,0.0,1.0
0.0133912559245021,0.0103159959671272,0.0081743758896866,0.0071528999545086,0.0098327894039306,0.0,-0.026262699346094973,0.018082709600487,0.0094678750442443,0.0,0.0157459259490944,0.0,0.0169907777559459,0.0098630274139309,0.0050303198289489,0.0094162831998625,1.0
0.01960412670503918,0.0103159959671272,0.0081743758896866,0.0071528999545086,0.0098327894039306,0.0,-0.026262699346094973,0.018082709600487,0.0094678750442443,0.0,0.0157459259490944,0.0,0.0169907777559459,0.0098630274139309,0.0050303198289489,0.0094162831998625,1.0
0.01960412670503918,0.0103159959671272,0.0081743758896866,0.0071528999545086,0.0098327894039306,0.0,-0.026262699346094973,0.018082709600487,0.0094678750442443,0.0,0.0157459259490944,0.0,0.0169907777559459,-0.681220140183253,0.0050303198289489,0.0094162831998625,1.0
0.0133912559245021,0.012035328628315,0.0093324124740589,0.0043108732441884,0.0098327894039306,0.0,-0.014504149181929687,0.0135620322003652,0.010809157342179,0.0,0.0159222162141733,0.0252186571794793,0.0147064984188898,0.0052216027485516,0.0071633421873569,0.0264380259073062,1.0
0.007206722214853949,0.012035328628315,0.0093324124740589,0.0043108732441884,0.0098327894039306,0.0,-0.014504149181929687,0.0135620322003652,0.010809157342179,0.0,0.0159222162141733,0.0252186571794793,0.0147064984188898,0.0052216027485516,0.0071633421873569,0.0264380259073062,1.0
0.007206722214853949,0.012035328628315,0.0093324124740589,0.0043108732441884,0.0098327894039306,0.0,-0.014504149181929687,0.0135620322003652,0.010809157342179,0.0,0.0159222162141733,0.0252186571794793,0.0147064984188898,0.9611613353714871,0.0071633421873569,0.0264380259073062,1.0
