number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,exchange rate,city,district,zip code
0.022318759874170285,0.017193326611878702,0.019209783340763623,0.049686162461781556,0.019665578807861378,0.0,0.0,0.013562032200365252,0.022249506353974303,0.0,0.01585811066323553,0.02539518777973568,0.015247858798552144,0.008702671247586134,0.012436840461075531,0.006156800553756257
0.008927503949668113,0.006877330644751481,0.00824249568876737,0.006917413536253246,0.009832789403930689,0.0,0.0,0.009041354800243501,0.009546774002946422,0.0,0.015617714847218822,0.0,0.01403047015243196,0.019726054827861907,0.024276156743574247,0.01774607218435627
0.017855007899336226,0.017193326611878702,0.014986355797758855,0.006915205851082101,0.019665578807861378,0.0,0.0,0.013562032200365252,0.01735777091444804,0.0,0.01592221621417332,0.025218657179479322,0.013506834661619276,0.0005801780831724089,0.02121210833947687,0.0
0.01339125592450217,0.010315995967127222,0.008174375889686648,0.007152899954508675,0.009832789403930689,0.0,0.0,0.018082709600487003,0.009467875044244385,0.0,0.0157459259490944,0.0,0.016990777755945995,0.009863027413930954,0.005030319828948986,0.009416283199862511
0.01339125592450217,0.012035328628315092,0.009332412474058924,0.004310873244188459,0.009832789403930689,0.0,0.0,0.013562032200365252,0.010809157342179005,0.0,0.01592221621417332,0.025218657179479322,0.014706498418889812,0.005221602748551681,0.007163342187356912,0.02643802590730628
0.017855007899336226,0.013754661289502961,0.010081730263946867,0.006347094867040877,0.009832789403930689,0.0,0.0,0.018082709600487003,0.011677045887901407,0.0,0.015818044693899413,0.0,0.015023792315284626,0.01798552057834468,0.010366349702751224,0.011951436369056264
0.01339125592450217,0.010315995967127222,0.008038136291525205,0.007562793501284533,0.009832789403930689,0.0,0.0,0.013562032200365252,0.00931007712684031,0.0,0.015890163438704426,0.02533214113678698,0.017520820659084255,0.015084630162482633,0.003230799337653699,0.00977844793831876
0.01339125592450217,0.017193326611878702,0.014237038007870913,0.00797268704806039,0.009832789403930689,0.0,0.0,0.018082709600487003,0.010730258383476968,0.020877823269459604,0.01592221621417332,0.0,0.01714487532772149,0.007542315081241317,0.014799145353123397,0.0007243294769125008
0.01339125592450217,0.020631991934254443,0.012602162829933582,0.014692880709024714,0.009832789403930689,0.0,0.0,0.018082709600487003,0.008599986498521983,0.021735816006560684,0.015962282183509438,0.0,0.01758674441766479,0.01160356166344818,0.012006067216055037,0.00832978898449376
0.008927503949668113,0.017193326611878702,0.011103527250157697,0.0010067044380419618,0.019665578807861378,0.0,0.0,0.013562032200365252,0.010099066713860677,0.010009915266179264,0.01609850647925224,0.0,0.01697469652867677,0.019726054827861907,0.022101446651777244,0.01774607218435627
0.01339125592450217,0.017193326611878702,0.017302428966503407,0.003716270038093499,0.019665578807861378,0.0,0.0,0.013562032200365252,0.02004033551031728,0.0,0.016074466897650568,0.0,0.015533625057187863,0.009863027413930954,0.01548004499847837,0.009416283199862511
