date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,exchange rate,city,district,zip code,labels
0.013626963,0.02231876,0.017193327,0.019209783,0.049686162,0.019665579,0,0,0.013562032,0.022249506,0,0.015858111,0.025395188,0.015247859,0.008702671,0.01243684,0.006156801,3
0.013626963,0.008927504,0.006877331,0.008242496,0.006917414,0.009832789,0,0,0.009041355,0.009546774,0,0.015617715,0,0.01403047,0.019726055,0.024276157,0.017746072,1
0.013626963,0.017855008,0.017193327,0.014986356,0.006915206,0.019665579,0,0,0.013562032,0.017357771,0,0.015922216,0.025218657,0.013506835,0.000580178,0.021212108,0,1
0.013626963,0.013391256,0.010315996,0.008174376,0.0071529,0.009832789,0,0,0.01808271,0.009467875,0,0.015745926,0,0.016990778,0.009863027,0.00503032,0.009416283,1
0.013626963,0.013391256,0.012035329,0.009332412,0.004310873,0.009832789,0,0,0.013562032,0.010809157,0,0.015922216,0.025218657,0.014706498,0.005221603,0.007163342,0.026438026,1
0.013626963,0.017855008,0.013754661,0.01008173,0.006347095,0.009832789,0,0,0.01808271,0.011677046,0,0.015818045,0,0.015023792,0.017985521,0.01036635,0.011951436,1
0.013626963,0.013391256,0.010315996,0.008038136,0.007562794,0.009832789,0,0,0.013562032,0.009310077,0,0.015890163,0.025332141,0.017520821,0.01508463,0.003230799,0.009778448,1
0.013626963,0.013391256,0.017193327,0.014237038,0.007972687,0.009832789,0,0,0.01808271,0.010730258,0.020877823,0.015922216,0,0.017144875,0.007542315,0.014799145,0.000724329,1
0.013626963,0.013391256,0.020631992,0.012602163,0.014692881,0.009832789,0,0,0.01808271,0.008599986,0.021735816,0.015962282,0,0.017586744,0.011603562,0.012006067,0.008329789,1
0.013626963,0.008927504,0.017193327,0.011103527,0.001006704,0.019665579,0,0,0.013562032,0.010099067,0.010009915,0.016098506,0,0.016974697,0.019726055,0.022101447,0.017746072,1
0.013626963,0.013391256,0.017193327,0.017302429,0.00371627,0.019665579,0,0,0.013562032,0.020040336,0,0.016074467,0,0.015533625,0.009863027,0.015480045,0.009416283,1
0.013626963,0.008927504,0.006877331,0.005790183,0.004543416,0.009832789,0,0,0.01808271,0.006706411,0,0.015625728,0.025004299,0.014045309,0.020306233,0.002765286,0.024265037,2
